"Resid..Df","Resid..Dev","Df","Deviance","Pr..Chi.","model","control","id","predictor"
981,1135.15858091885,NA,NA,NA,"cutNo",0,"eb","Random"
980,1107.019905926,1,28.1386749928474,1.12926522812707e-07,"cutNo",0,"eb","Cut No"
979,1095.05284715677,1,11.9670587692281,0.00054149346858627,"cutNo",0,"eb","Exp. Time"
978,1095.04259756159,1,0.0102495951757646,0.919359718692667,"cutNo",0,"eb","Cut No:Time"
977,1093.5030121011,1,1.53958546049103,0.214679519078643,"cutNo",0,"eb","Cum. Effort."
976,1053.65646863157,1,39.8465434695358,2.7471993305985e-10,"cutNo",0,"eb","Seg. Size"
975,1051.02981265468,1,2.62665597688533,0.105082821967623,"cutNo",0,"eb","Seg. Dist"
974,1049.11031779515,1,1.91949485953637,0.165912357409478,"cutNo",0,"eb","Int. Diff."
973,1048.02662636488,1,1.08369143026061,0.297873223175995,"cutNo",0,"eb","intOrder"
981,1135.15858091885,NA,NA,NA,"effort",0,"eb","Random"
980,1132.04205071263,1,3.11653020621452,0.0775016509555663,"effort",0,"eb","Cum. Effort"
979,1120.28712024177,1,11.7549304708584,0.000606822778923624,"effort",0,"eb","Exp. Time"
978,1118.05047539622,1,2.23664484554934,0.134773136842754,"effort",0,"eb","Effort:Time"
977,1091.27049246393,1,26.7799829322892,2.27986718992172e-07,"effort",0,"eb","Cut No."
976,1052.30128178981,1,38.9692106741188,4.3054257605798e-10,"effort",0,"eb","Seg. Size"
975,1049.84044057768,1,2.46084121213607,0.116716259452474,"effort",0,"eb","Seg. Dist"
974,1047.94475029882,1,1.89569027885523,0.168561508277941,"effort",0,"eb","Int. Diff."
973,1046.68474147952,1,1.26000881930327,0.261649421221218,"effort",0,"eb","intOrder"
982,1090.47089255443,NA,NA,NA,"similarity",1,"eb","Random"
981,1085.56820505037,1,4.90268750406585,0.0268149328245031,"similarity",1,"eb","Highest Similarity"
980,1085.56154608783,1,0.00665896253417486,0.934962839878098,"similarity",1,"eb","Exp. Time"
979,1053.91493529039,1,31.6466107974452,1.84937068347305e-08,"similarity",1,"eb","Seg Dist."
978,1047.55835885399,1,6.35657643640366,0.011694698500021,"similarity",1,"eb","Int. Diff."
977,1021.45968259351,1,26.0986762604788,3.24406346810128e-07,"similarity",1,"eb","Seg. Size"
982,1090.47089255443,NA,NA,NA,"closeSeg",1,"eb","Random"
981,1085.2709346098,1,5.1999579446333,0.0225874346383123,"closeSeg",1,"eb","Closest Segment"
980,1085.2288553742,1,0.0420792356042057,0.837468808656217,"closeSeg",1,"eb","Exp. Time"
979,1084.20086782575,1,1.02798754844457,0.310631803757348,"closeSeg",1,"eb","Seg Dist."
978,1045.65469768402,1,38.546170141735,5.34735982931894e-10,"closeSeg",1,"eb","Int. Diff."
977,1030.83171204734,1,14.8229856366784,0.000118087413217935,"closeSeg",1,"eb","Seg. Size"
