"Resid..Df","Resid..Dev","Df","Deviance","Pr..Chi.","model","control","id","predictor"
998,824.006305580055,NA,NA,NA,"cutNo",0,"js","Random"
997,793.074772660573,1,30.931532919482,2.6729337552082e-08,"cutNo",0,"js","Cut No"
996,753.268739486298,1,39.8060331742754,2.80477377320462e-10,"cutNo",0,"js","Exp. Time"
995,752.919919089054,1,0.348820397243912,0.554781635273297,"cutNo",0,"js","Cut No:Time"
994,749.643919477018,1,3.27599961203657,0.0703000877902059,"cutNo",0,"js","Cum. Effort."
993,745.391423370997,1,4.25249610602043,0.0391926846065362,"cutNo",0,"js","Seg. Size"
992,745.348111186501,1,0.0433121844964717,0.835138553850681,"cutNo",0,"js","Seg. Dist"
991,743.891976049952,1,1.4561351365486,0.227546063434453,"cutNo",0,"js","Int. Diff."
990,742.448321063682,1,1.44365498627008,0.229548798792463,"cutNo",0,"js","intOrder"
998,824.006305580055,NA,NA,NA,"effort",0,"js","Random"
997,819.347348431596,1,4.65895714845976,0.0308919488142532,"effort",0,"js","Cum. Effort"
996,780.398002556672,1,38.9493458749241,4.34946003932258e-10,"effort",0,"js","Exp. Time"
995,780.308564050774,1,0.0894385058974194,0.764892196247518,"effort",0,"js","Effort:Time"
994,749.923846410999,1,30.3847176397747,3.54308527515715e-08,"effort",0,"js","Cut No."
993,745.637230850166,1,4.2866155608333,0.0384135596224071,"effort",0,"js","Seg. Size"
992,745.599579218227,1,0.0376516319394113,0.846144338985689,"effort",0,"js","Seg. Dist"
991,744.123719821251,1,1.47585939697524,0.224423483462628,"effort",0,"js","Int. Diff."
990,742.689799208081,1,1.43392061317059,0.231125656572529,"effort",0,"js","intOrder"
997,713.196845727538,NA,NA,NA,"similarity",1,"js","Random"
996,713.010007271644,1,0.186838455893621,0.665561073432882,"similarity",1,"js","Highest Similarity"
995,707.643386243426,1,5.36662102821867,0.0205257023905889,"similarity",1,"js","Exp. Time"
994,672.692621163282,1,34.9507650801434,3.38148503338734e-09,"similarity",1,"js","Seg Dist."
993,672.677942178346,1,0.0146789849361539,0.903566792372733,"similarity",1,"js","Int. Diff."
992,623.442771573973,1,49.2351706043728,2.27043251869442e-12,"similarity",1,"js","Seg. Size"
997,713.196845727538,NA,NA,NA,"closeSeg",1,"js","Random"
996,713.16745968247,1,0.0293860450681223,0.863890712084646,"closeSeg",1,"js","Closest Segment"
995,707.766605590156,1,5.40085409231335,0.0201268998090434,"closeSeg",1,"js","Exp. Time"
994,707.013146356286,1,0.753459233870444,0.385383222035071,"closeSeg",1,"js","Seg Dist."
993,670.69153228673,1,36.3216140695557,1.67298174826903e-09,"closeSeg",1,"js","Int. Diff."
992,645.113371394842,1,25.5781608918885,4.24820430621587e-07,"closeSeg",1,"js","Seg. Size"
