"Resid..Df","Resid..Dev","Df","Deviance","Pr..Chi.","model","control","id","predictor"
984,1158.93476197129,NA,NA,NA,"cutNo",0,"mae","Random"
983,1110.37878949922,1,48.5559724720683,3.20995260715851e-12,"cutNo",0,"mae","Cut No"
982,1093.27497286052,1,17.1038166387075,3.53911120125469e-05,"cutNo",0,"mae","Exp. Time"
981,1091.95217235075,1,1.32280050976328,0.250090064582593,"cutNo",0,"mae","Cut No:Time"
980,1091.13147948913,1,0.820692861624593,0.364977667252903,"cutNo",0,"mae","Cum. Effort."
979,1077.26536320865,1,13.8661162804822,0.000196305961367617,"cutNo",0,"mae","Seg. Size"
978,1063.08524453851,1,14.1801186701377,0.000166116468692852,"cutNo",0,"mae","Seg. Dist"
977,1058.25457986952,1,4.83066466898299,0.0279578502540984,"cutNo",0,"mae","Int. Diff."
976,1055.40569704928,1,2.8488828202494,0.0914374559228342,"cutNo",0,"mae","intOrder"
984,1158.93476197129,NA,NA,NA,"effort",0,"mae","Random"
983,1156.75674559549,1,2.17801637580487,0.139994794493148,"effort",0,"mae","Cum. Effort"
982,1140.16318551156,1,16.5935600839236,4.63079975138582e-05,"effort",0,"mae","Exp. Time"
981,1139.9211861223,1,0.241999389262446,0.622765765357821,"effort",0,"mae","Effort:Time"
980,1092.21657486325,1,47.7046112590474,4.95524722987483e-12,"effort",0,"mae","Cut No."
979,1078.42803021963,1,13.7885446436226,0.000204579832967125,"effort",0,"mae","Seg. Size"
978,1064.11780589847,1,14.3102243211606,0.000155020603894588,"effort",0,"mae","Seg. Dist"
977,1059.14482606569,1,4.97297983277622,0.025746254581547,"effort",0,"mae","Int. Diff."
976,1056.26114065459,1,2.88368541110503,0.0894810109405695,"effort",0,"mae","intOrder"
989,971.076546546391,NA,NA,NA,"similarity",1,"mae","Random"
988,969.293869455043,1,1.78267709134832,0.181820938366523,"similarity",1,"mae","Highest Similarity"
987,968.374194831305,1,0.919674623737706,0.337560419949002,"similarity",1,"mae","Exp. Time"
986,929.415285227761,1,38.9589096035445,4.32820413231143e-10,"similarity",1,"mae","Seg Dist."
985,929.187107808448,1,0.228177419312942,0.632878549951524,"similarity",1,"mae","Int. Diff."
984,906.709320671152,1,22.4777871372953,2.12587767839709e-06,"similarity",1,"mae","Seg. Size"
989,971.076546546391,NA,NA,NA,"closeSeg",1,"mae","Random"
988,970.210916177828,1,0.865630368563188,0.352167854595314,"closeSeg",1,"mae","Closest Segment"
987,969.137004339163,1,1.07391183866537,0.300063522848459,"closeSeg",1,"mae","Exp. Time"
986,963.389809887812,1,5.74719445135042,0.0165150112381382,"closeSeg",1,"mae","Seg Dist."
985,929.309659219542,1,34.0801506682699,5.28880234698233e-09,"closeSeg",1,"mae","Int. Diff."
984,901.838927967535,1,27.4707312520071,1.5949000637278e-07,"closeSeg",1,"mae","Seg. Size"
