"Resid..Df","Resid..Dev","Df","Deviance","Pr..Chi.","model","control","id","predictor"
996,1107.35348288439,NA,NA,NA,"cutNo",0,"re","Random"
995,1090.54918093149,1,16.8043019528961,4.14392542000396e-05,"cutNo",0,"re","Cut No"
994,1075.99846951718,1,14.5507114143156,0.000136437126803273,"cutNo",0,"re","Exp. Time"
993,1073.6879646956,1,2.3105048215757,0.128502309933489,"cutNo",0,"re","Cut No:Time"
992,1072.06128311489,1,1.62668158071392,0.202162647611372,"cutNo",0,"re","Cum. Effort."
991,1062.24865703019,1,9.81262608469501,0.00173317846224889,"cutNo",0,"re","Seg. Size"
990,1062.14095683277,1,0.10770019742472,0.74277777472568,"cutNo",0,"re","Seg. Dist"
989,1062.10858643245,1,0.0323704003151306,0.857217132359696,"cutNo",0,"re","Int. Diff."
988,1061.23186984091,1,0.876716591539662,0.349102558269171,"cutNo",0,"re","intOrder"
996,1107.35348288439,NA,NA,NA,"effort",0,"re","Random"
995,1104.66485742824,1,2.68862545614411,0.101066964824295,"effort",0,"re","Cum. Effort"
994,1090.24296530323,1,14.4218921250176,0.000146094038177369,"effort",0,"re","Exp. Time"
993,1089.10891773984,1,1.1340475633865,0.286913630167574,"effort",0,"re","Effort:Time"
992,1073.23446665181,1,15.8744510880251,6.76863174694099e-05,"effort",0,"re","Cut No."
991,1063.37111018905,1,9.86335646276348,0.00168603226630119,"effort",0,"re","Seg. Size"
990,1063.23284135019,1,0.138268838860995,0.710008121995312,"effort",0,"re","Seg. Dist"
989,1063.21538783348,1,0.017453516705018,0.894895895584167,"effort",0,"re","Int. Diff."
988,1062.29147001806,1,0.923917815424147,0.336448380238742,"effort",0,"re","intOrder"
993,1144.55831524499,NA,NA,NA,"similarity",1,"re","Random"
992,1142.89342067837,1,1.6648945666218,0.196943762985573,"similarity",1,"re","Highest Similarity"
991,1139.55467748292,1,3.33874319545089,0.0676662756860341,"similarity",1,"re","Exp. Time"
990,1136.39516660258,1,3.1595108803449,0.0754857967261507,"similarity",1,"re","Seg Dist."
989,1135.79363090403,1,0.601535698547423,0.437992686689427,"similarity",1,"re","Int. Diff."
988,1132.00697523309,1,3.78665567093776,0.05166277500701,"similarity",1,"re","Seg. Size"
993,1144.55831524499,NA,NA,NA,"closeSeg",1,"re","Random"
992,1141.36208716867,1,3.19622807632595,0.0738083153577435,"closeSeg",1,"re","Closest Segment"
991,1137.70137115335,1,3.66071601531507,0.0557096869884213,"closeSeg",1,"re","Exp. Time"
990,1134.50489283379,1,3.19647831956172,0.073797020890404,"closeSeg",1,"re","Seg Dist."
989,1133.30223468517,1,1.20265814862501,0.272791046594385,"closeSeg",1,"re","Int. Diff."
988,1130.01961596103,1,3.28261872413395,0.0700171271322656,"closeSeg",1,"re","Seg. Size"
